Obesity data- http://www.cdc.gov/obesity/data/table-adults.html ( 2014),,,,,,,,,,,
,,,,,,,,,,,
MEDHHINC 2010- Median Household Income ( 2010),,,,,,,,,,,
"Fast-food restaurants/1,000 pop (% change), 2007-12- (PCH_FFRPTH_07_12)                              Farmers' markets/1,000 pop (% change), 2009-13 (PCH_FMRKTPTH_09_13)                                    Grocery stores/1,000 pop (% change), 2007-12 (PCH_GROCPTH_07_12)                                   Supercenters & club stores (% change), 2007-12 ( PCH_SUPERC_07_12)                                 Convenience Stores ( % change), 2007-2012 (PCH_CONVSPTH_07_12)",,,,,,,,,,,
FIPS Code,State,POVRATE10,Obesity (%),MEDHHINC10,PCH_FFRPTH_07_12,,,PCH_FMRKTPTH_09_13,PCH_GROCPTH_07_12,PCH_SUPERC_07_12,Convenience stores
,Alabama,22,33.5,36339.56716,-3.615271309,,,15.63186007,-12.22515745,14.34746704,42.65622994
1001,AL,11.9,,53049,-4.621131606,1001,AL,-54.28540548,-10.23165328,-10.23165328,-17.51016788
1003,AL,13.3,,47618,-8.719193269,1003,AL,-5.719377326,2.393252768,81.15729336,-48.24077333
1005,AL,25.3,,33074,14.78548583,1005,AL,63.98477997,-8.900408073,,59.77466892
1007,AL,20.9,,35472,-28.69075541,1007,AL,-4.469619861,-32.08643372,,102.0428597
1009,AL,16.5,,42906,-19.87123567,1009,AL,0.897520147,31.11979617,-1.660152872,83.56771464
1011,AL,31.1,,25969,39.59646108,1011,AL,4.878747374,4.697345809,0,57.04601871
1013,AL,28.1,,29500,19.62180529,1013,AL,-1.689072734,-0.315162259,,-14.55585337
1015,AL,23.5,,37916,-11.52012004,1015,AL,45.8886066,-19.33811785,188.5213477,-4.971143416
1017,AL,28.5,,30061,15.25695877,1017,AL,0.751526538,16.52351875,1.95807891,32.54550258
1019,AL,21.2,,34410,-5.945198109,1019,AL,-6.045117405,-5.945198109,-5.945198109,27.64580257
1021,AL,20.4,,38553,-39.57815103,1021,AL,0,-3.325041649,-3.325041649,78.84867295
1023,AL,20.7,,32003,142.6611898,1023,AL,2.618645933,3.997652754,0,66.39624441
1025,AL,24.9,,33739,-7.126107865,1025,AL,107.0029013,-34.38257621,4.987878065,-1.573864314
1027,AL,20.6,,33035,-31.66108423,1027,AL,103.0517306,2.508373651,0,-26.77973311
1029,AL,17.8,,37566,32.07479324,1029,AL,-0.492179072,-25.7079288,0,78.30097087
1031,AL,20.1,,40779,-18.82202971,1031,AL,-5.106142199,-8.674783423,-8.674783423,-37.63155941
1033,AL,19.2,,37455,17.00951401,1033,AL,0.354479668,0.293869155,0.293869155,9.623531402
1035,AL,25.7,,27855,-49.47230568,1035,AL,,-24.20845852,0,152.6384716
1037,AL,18.6,,33721,0,1037,AL,0,,0,883.3120554
1039,AL,20.9,,33484,-16.4073608,1039,AL,-35.5763404,-13.80670092,,39.63314451
1041,AL,20.3,,35577,21.96442519,1041,AL,-2.144429454,-18.6903832,0,-2.428459845
1043,AL,19.2,,37948,17.54394102,1043,AL,1.663351566,30.26181004,0.201392342,-8.907825144
1045,AL,17.8,,41287,-17.99166261,1045,AL,-4.553564349,19.59549203,-4.323606375,13.3942443
1047,AL,35.6,,26195,-16.82997387,1047,AL,-2.190649496,-27.41524992,-0.195968645,61.58747934
1049,AL,20.8,,34822,-22.78032485,1049,AL,46.41249297,12.06269931,-3.946257738,0.739290665
1051,AL,12.5,,51013,1.890740116,1051,AL,,-19.94298991,92.13682422,39.9854005
1053,AL,26.1,,31365,7.634271773,1053,AL,-1.473916934,-44.98692776,,41.46218576
1055,AL,19,,36088,-7.082756653,1055,AL,48.92664189,-40.67591386,,8.928406748
1057,AL,27.3,,32643,-11.48459384,1057,AL,2.284637579,23.92156863,3.267973856,-9.640522876
1059,AL,21.6,,33649,-31.69571172,1059,AL,95.78098926,-3.570416549,,-16.7199052
1061,AL,20.3,,34418,-11.85336887,1061,AL,0,-13.18892388,0,33.68905722
1063,AL,31,,27117,-48.73817035,1063,AL,-0.529517801,-65.8254469,0,105.0473186
1065,AL,24.8,,31790,95.94272593,1065,AL,,-29.46061866,0,56.75418075
1067,AL,18.1,,37851,-25.8980737,1067,AL,,-27.75062185,0,12.38792156
1069,AL,17.9,,39290,5.139795326,1069,AL,-3.20786832,0.074466645,-5.812266687,-7.13885448
1071,AL,19.9,,36158,-0.420603934,1071,AL,-0.34138705,-31.5391652,-0.420603934,33.80981346
1073,AL,18.6,,41740,6.747754143,1073,AL,101.5205853,-21.30683964,58.68550025,9.009695107
1075,AL,21.5,,32993,-20.99492718,1075,AL,,1.577950768,0,-20.99492718
1077,AL,17.6,,39213,6.284473837,1077,AL,-3.180177649,36.65146636,-4.343973547,-33.17181714
1079,AL,18.1,,37365,-23.10476528,1079,AL,-49.60399551,-27.91071745,,38.7718689
1081,AL,21.3,,40102,-2.8810461,1081,AL,23.03478499,1.506501267,33.22728291,-32.71349348
1083,AL,14.1,,49667,-24.11287562,1083,AL,-10.36119287,-15.68097292,-15.68097292,37.57314945
1085,AL,30.7,,28754,-61.11878665,1085,AL,13.22648982,-22.2375733,0,249.9309201
1087,AL,31.2,,27041,-2.448502557,1087,AL,6.106647188,-13.28755783,0,189.0414739
1089,AL,12.7,,54633,0.099130786,1089,AL,91.05981112,1.917453655,11.78979959,-13.15079373
1091,AL,23.6,,33085,-1.555751624,1091,AL,2.656732513,-30.50994232,,4.235086515
1093,AL,20.9,,32080,-11.18245902,1093,AL,92.01371715,-41.63418736,,13.48908014
1095,AL,19.4,,38859,-5.943558144,1095,AL,27.17565628,14.65858818,39.22828564,-4.234512521
1097,AL,20.5,,39753,-0.159841825,1097,AL,49.19733969,-8.521781462,30.53032353,0.462749004
1099,AL,28.4,,31744,-28.07526515,1099,AL,-0.942394478,-44.05853956,,40.97248031
1101,AL,21.3,,41556,-1.955689575,1101,AL,-22.09603344,-12.2761433,47.06646564,-21.30654032
