FIPS,State,StateId,Area name,FarmMarketGrowth,EducationPercentage0,PercentageOfPoverty,M,FastfoodGrowth,GROCPTH_07_12,ConvenienceStores
1000,AL,1,Alabama,15.63186007,23.1,11.9,53049,-3.615271309,-12.22515745,42.65622994
1001,AL,1,Autauga County,-54.28540548,21.9,13.3,47618,-4.621131606,-10.23165328,-17.51016788
1003,AL,1,Baldwin County,-5.719377326,28.6,25.3,33074,-8.719193269,2.393252768,-48.24077333
1005,AL,1,Barbour County,63.98477997,13.6,20.9,35472,14.78548583,-8.900408073,59.77466892
1007,AL,1,Bibb County,-4.469619861,10.2,16.5,42906,-28.69075541,-32.08643372,102.0428597
1009,AL,1,Blount County,0.897520147,12.3,31.1,25969,-19.87123567,31.11979617,83.56771464
1011,AL,1,Bullock County,4.878747374,14.1,28.1,29500,39.59646108,4.697345809,57.04601871
1013,AL,1,Butler County,-1.689072734,14.3,23.5,37916,19.62180529,-0.315162259,-14.55585337
1015,AL,1,Calhoun County,45.8886066,16.9,28.5,30061,-11.52012004,-19.33811785,-4.971143416
1017,AL,1,Chambers County,0.751526538,12.2,21.2,34410,15.25695877,16.52351875,32.54550258
1019,AL,1,Cherokee County,-6.045117405,13.7,20.4,38553,-5.945198109,-5.945198109,27.64580257
1021,AL,1,Chilton County,0,13.5,20.7,32003,-39.57815103,-3.325041649,78.84867295
1023,AL,1,Choctaw County,2.618645933,12.8,24.9,33739,142.6611898,3.997652754,66.39624441
1025,AL,1,Clarke County,107.0029013,11.9,20.6,33035,-7.126107865,-34.38257621,-1.573864314
1027,AL,1,Clay County,103.0517306,8.6,17.8,37566,-31.66108423,2.508373651,-26.77973311
1029,AL,1,Cleburne County,-0.492179072,10.6,20.1,40779,32.07479324,-25.7079288,78.30097087
1031,AL,1,Coffee County,-5.106142199,23.2,19.2,37455,-18.82202971,-8.674783423,-37.63155941
1033,AL,1,Colbert County,0.354479668,17.6,25.7,27855,17.00951401,0.293869155,9.623531402
1035,AL,1,Conecuh County,,8.3,18.6,33721,-49.47230568,-24.20845852,152.6384716
1037,AL,1,Coosa County,0,9.1,20.9,33484,0,,883.3120554
1039,AL,1,Covington County,-35.5763404,14.6,20.3,35577,-16.4073608,-13.80670092,39.63314451
1041,AL,1,Crenshaw County,-2.144429454,12.5,19.2,37948,21.96442519,-18.6903832,-2.428459845
1043,AL,1,Cullman County,1.663351566,15.1,17.8,41287,17.54394102,30.26181004,-8.907825144
1045,AL,1,Dale County,-4.553564349,16.9,35.6,26195,-17.99166261,19.59549203,13.3942443
1047,AL,1,Dallas County,-2.190649496,14.5,20.8,34822,-16.82997387,-27.41524992,61.58747934
1049,AL,1,DeKalb County,46.41249297,11.3,12.5,51013,-22.78032485,12.06269931,0.739290665
