year,fatal,cause
1993,136,criminal
1993,695,human_error
1993,185,mechanical
1993,85,unknown
1993,282,weather
1994,29,criminal
1994,704,human_error
1994,366,mechanical
1994,8,unknown
1994,245,weather
1995,2,criminal
1995,696,human_error
1995,268,mechanical
1995,0,unknown
1995,119,weather
1996,125,criminal
1996,1051,human_error
1996,471,mechanical
1996,5,unknown
1996,91,weather
1997,105,criminal
1997,866,human_error
1997,82,mechanical
1997,23,unknown
1997,86,weather
1998,96,criminal
1998,558,human_error
1998,300,mechanical
1998,18,unknown
1998,232,weather
1999,1,criminal
1999,417,human_error
1999,61,mechanical
1999,27,unknown
1999,93,weather
2000,1,criminal
2000,740,human_error
2000,185,mechanical
2000,60,unknown
2000,88,weather
2001,3356,criminal
2001,711,human_error
2001,48,mechanical
2001,0,unknown
2001,64,weather
2002,112,criminal
2002,264,human_error
2002,410,mechanical
2002,14,unknown
2002,317,weather
2003,0,criminal
2003,21,human_error
2003,241,mechanical
2003,22,unknown
2003,75,weather
2004,90,criminal
2004,19,human_error
2004,21,mechanical
2004,224,unknown
2004,122,weather
2005,0,criminal
2005,785,human_error
2005,42,mechanical
2005,117,unknown
2005,115,weather
2006,0,criminal
2006,785,human_error
2006,5,mechanical
2006,57,unknown
2006,1,weather
2007,0,criminal
2007,407,human_error
2007,20,mechanical
2007,228,unknown
2007,0,weather
2008,0,criminal
2008,428,human_error
2008,35,mechanical
2008,72,unknown
2008,0,weather
2009,0,criminal
2009,461,human_error
2009,34,mechanical
2009,169,unknown
2009,0,weather
2010,0,criminal
2010,514,human_error
2010,2,mechanical
2010,17,unknown
2010,147,weather
2011,0,criminal
2011,154,human_error
2011,69,mechanical
2011,43,unknown
2011,192,weather
2012,2,criminal
2012,170,human_error
2012,182,mechanical
2012,22,unknown
2012,32,weather
2013,0,criminal
2013,7,human_error
2013,0,mechanical
2013,93,unknown
2013,70,weather
2014,298,criminal
2014,0,human_error
2014,0,mechanical
2014,278,unknown
2014,344,weather
2015,0,criminal
2015,0,human_error
2015,0,mechanical
2015,193,unknown
2015,0,weather
